library code, book name, book's writer
SC80850,মেশকাত শরীফ ২ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80851,মেশকাত শরীফ ৩ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80852,মেশকাত শরীফ ৩ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80853,মেশকাত শরীফ ৪ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80854,মেশকাত শরীফ ৪ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80855,মেশকাত শরীফ ৫ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80856,মেশকাত শরীফ ৫ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80857,মেশকাত শরীফ ৬ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80858,মেশকাত শরীফ ৬ /,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80859,মেশকাত শরীফ ৭ /,মাওলানা আফলাতুন কায়সার
SC80860,মেশকাত শরীফ ৭ /,মাওলানা আফলাতুন কায়সার
SC80861,মেশকাত শরীফ ৮ /,মাওলানা আফলাতুন কায়সার
SC80862,মেশকাত শরীফ ৮ /,মাওলানা আফলাতুন কায়সার
SC80863,মেশকাত শরীফ ৯ /,মাওলানা আফলাতুন কায়সার
SC80864,মেশকাত শরীফ ৯ /,মাওলানা আফলাতুন কায়সার
SC80865,মেশকাত শরীফ ১০ /,মাওলানা আফলাতুন কায়সার
SC80866,মেশকাত শরীফ ১০ /,মাওলানা আফলাতুন কায়সার
SC80867,মেশকাত শরীফ ১১ /,মাওলানা আফলাতুন কায়সার
SC80868,মেশকাত শরীফ ১১ /,মাওলানা আফলাতুন কায়সার
SC80915,বুখারী শরীফ - পঞ্চম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80916,বুখারী শরীফ - ষষ্ঠ খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80917,বুখারী শরীফ - ষষ্ঠ খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80918,বুখারী শরীফ - ৭ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80919,বুখারী শরীফ - ৭ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80906,বুখারী শরীফ - ১ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80907,বুখারী শরীফ - ১ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80908,বুখারী শরীফ - ২য় খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80909,বুখারী শরীফ - ২য় খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80910,বুখারী শরীফ - ৩য় খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80911,বুখারী শরীফ - ৩য় খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80912,বুখারী শরীফ - ৪র্থ খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80913,বুখারী শরীফ - ৪র্থ খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80922,বুখারী শরীফ - ৯ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80923,বুখারী শরীফ - ৯ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80924,বুখারী শরীফ - ১০ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80925,বুখারী শরীফ - ১০ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80886,শামায়েলে তিরমিযী সকল খন্ড একত্রে /,ইমাম আবু ঈসা মুহাম্মদ ইবনে ঈসা আত তিরমিযী (রহঃ)
SC80887,শামায়েলে তিরমিযী সকল খন্ড একত্রে /,ইমাম আবু ঈসা মুহাম্মদ ইবনে ঈসা আত তিরমিযী (রহঃ)
SC80704,দুআ বিশ্বকোষ :,ইমাম মুহিউদ্দীন ইয়াহইয়া আন-নববী (রহ.)
SC80705,দুআ বিশ্বকোষ :,ইমাম মুহিউদ্দীন ইয়াহইয়া আন-নববী (রহ.)
SC80920,বুখারী শরীফ - ৮ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80921,বুখারী শরীফ - ৮ম খণ্ড /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC80629,মুক্তমঞ্চ /,"তুরুকখলী, আব্দুল হান্নান"
SC80630,মুক্তমঞ্চ /,"তুরুকখলী, আব্দুল হান্নান"
SC80631,মুক্তমঞ্চ /,"তুরুকখলী, আব্দুল হান্নান"
SC80895,হযরত শাহজালাল (রঃ) এর পূণ্যভূমি সিলেট :,"হেলাল, ময়নুল হক চৌধুরী"
SC80892,প্রিয় নবীর সুন্নাতসমূহ /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC80893,প্রিয় নবীর সুন্নাতসমূহ /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC80894,প্রিয় নবীর সুন্নাতসমূহ /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC80902,গরীবুল হাদীস /,"রহমান, মুফতী মুহাম্মদ মানজুরুর"
SC80903,গরীবুল হাদীস /,"রহমান, মুফতী মুহাম্মদ মানজুরুর"
SC80898,উসূলুল হাদীসের ইতিবৃত্ত /,"রহমান, মুফতী মুহাম্মদ মানজুরুর"
SC80899,উসূলুল হাদীসের ইতিবৃত্ত /,"রহমান, মুফতী মুহাম্মদ মানজুরুর"
SC80690,কালিমার গোপন রহস্য ইমানের পরিচয় /,"আহ্‌মাদ, মোস্তাক"
SC80691,কালিমার গোপন রহস্য ইমানের পরিচয় /,"আহ্‌মাদ, মোস্তাক"
SC80896,মাউযু' হাদীস বা প্রচলিত জাল হাদীস :,"রহমান, মুফতী মুহাম্মদ মানজুরুর"
SC80897,মাউযু' হাদীস বা প্রচলিত জাল হাদীস :,"রহমান, মুফতী মুহাম্মদ মানজুরুর"
SC80904,বিদআত :,মাওলানা মুফতী সায়্যিদ আবদুর রহীম লাজপূরী রহ
SC80905,বিদআত :,মাওলানা মুফতী সায়্যিদ আবদুর রহীম লাজপূরী রহ
SC80900,আলফিয়্যাতুল হাদীস :,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80901,আলফিয়্যাতুল হাদীস :,মাওলানা নূর মোহাম্মদ আজমী রহ.
SC80839,তাফসীরে ইবনে কাছীর ২য় খণ্ড :,আল্লামা ইমাদুদ্দীন ইবনে কাছীর (রহঃ)
SC80840,তাফসীরে ইবনে কাছীর ২য় খণ্ড :,আল্লামা ইমাদুদ্দীন ইবনে কাছীর (রহঃ)
SC81080,সুনানে ইবনে মাজাহ (সকল খন্ড একত্রে) /,আবু আবদুল্লাহ মুহাম্মদ ইবনে ইয়াজিদ ইবনে মাজাহ আল-কাযবীনী (রহ.)
SC81081,সুনানে ইবনে মাজাহ (সকল খন্ড একত্রে) /,আবু আবদুল্লাহ মুহাম্মদ ইবনে ইয়াজিদ ইবনে মাজাহ আল-কাযবীনী (রহ.)
SC81082,মছনবী শরীফ (সব খণ্ড একত্রে) /,মাওলানা জালাল উদ্দিন রূমী (রহঃ)
SC81083,মছনবী শরীফ (সব খণ্ড একত্রে) /,মাওলানা জালাল উদ্দিন রূমী (রহঃ)
SC81013,ইমাম গাযালীর চিঠি /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81014,ইমাম গাযালীর চিঠি /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81153,অর্থনৈতিক সমস্যা সমাধানে যাকাতের ভূমিকা /,ড. ইউসুফ আল কারজাভি
SC81154,অর্থনৈতিক সমস্যা সমাধানে যাকাতের ভূমিকা /,ড. ইউসুফ আল কারজাভি
SC81021,অর্থনৈতিক সমস্যা সমাধানে যাকাতের ভূমিকা /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81022,অর্থনৈতিক সমস্যা সমাধানে যাকাতের ভূমিকা /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81147,মহাবিশ্বে কুরআন ও বিজ্ঞান /,গোলাম মোহাম্মাদ
SC81148,মহাবিশ্বে কুরআন ও বিজ্ঞান /,গোলাম মোহাম্মাদ
SC81023,কুরআন ও আধুনিক বিজ্ঞান :,
SC81024,কুরআন ও আধুনিক বিজ্ঞান :,
SC81070,মরনের আগে ও পরে /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81071,মরনের আগে ও পরে /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81050,"কাসাসুল কুরআন-১ (হযরত আদম, ইদরিস নুহ, হুদ, সালেহ (আ.)) /",মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81051,"কাসাসুল কুরআন-২ (হযরত ইবরাহিম, ইসমাইল, ইসহাক, লুত, ইয়াকুব (আ.)) /",মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81052,"কাসাসুল কুরআন-৩ (হযরত ইউসুফ, শুআইব (আ.)) /",মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81053,কাসাসুল কুরআন-৪ (হযরত মুসা ও হারুন (আ.)) /,মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81054,"কাসাসুল কুরআন-৫ (হযরত দাউদ, ইউশা বিন নুন, হিযকিল, ইলয়াস, আল-ইয়াসাআ, শামাবিল (আ.)) /",মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81055,"কাসাসুল কুরআন-৬ (হযরত সুলাইমান, আইয়ুব, ইউনুস (আ.)) /",মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81056,"কাসাসুল কুরআন-৭ (হযরত যুলকিফল, উযায়ের, যাকারিয়া, ইয়াহইয়া (আ.)) /",মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81057,কাসাসুল কুরআন-৮ (হযরত লুকমান (আ.)) /,মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81058,"কাসাসুল কুরআন - ৯ আসহাবুল কাহফ ওয়ার রাকিম এবং সাবা ও সাইলুল আরিম, আসহাবুল উখদুদ বা কওমে তুব্বা ও আসহাবুল ফিল /",মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81059,কাসাসুল কুরআন-১০ (হযরত ইসা (আ.)) /,মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81060,কাসাসুল কুরআন-১১ (হযরত মুহাম্মদ (সা.)) /,মাওলানা হিফযুর রহমান সিওহারবী রহ.
SC81030,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81031,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81032,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81033,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81034,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81035,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81036,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81037,কিমিয়ায়ে সাআদাত /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81066,ম্যারেজ ইন ইসলাম /,"নায়েক, ডা. জাকির"
SC81067,ম্যারেজ ইন ইসলাম /,"নায়েক, ডা. জাকির"
SC81063,আল-মুরশিদুল-আমীন /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81064,আল-মুরশিদুল-আমীন /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.
SC81061,মৃত্যু থেকে কিয়ামাত /,ইমাম বাইহাকি
SC81062,মৃত্যু থেকে কিয়ামাত /,ইমাম বাইহাকি
SC81183,আদর্শ মুসলিম /,ড. মুহাম্মদ আলী আল্‌ হাশেমী
SC81184,আদর্শ মুসলিম /,ড. মুহাম্মদ আলী আল্‌ হাশেমী
SC81073,কবর কি পহেলী রাত বা কবরের প্রথম রজনী :,মাওলানা মুহাম্মদ শহীদুল ইসলাম
SC81074,কবর কি পহেলী রাত বা কবরের প্রথম রজনী :,মাওলানা মুহাম্মদ শহীদুল ইসলাম
SC81143,নারী অধিকার বিভ্রান্তি ও ইসলাম /,"সিদ্দিকী, নঈম"
SC81144,নারী অধিকার বিভ্রান্তি ও ইসলাম /,"সিদ্দিকী, নঈম"
SC81038,প্রতিদিন একটি আয়াত /,
SC81039,প্রতিদিন একটি আয়াত /,
SC81151,লস্ট ইসলামিক হিস্ট্রি /,
SC81152,লস্ট ইসলামিক হিস্ট্রি /,
SC81093,দিওয়ান-ই-শামস-ই-তাবরিজ /,মাওলানা জালাল উদ্দিন রূমী (রহঃ)
SC81094,দিওয়ান-ই-শামস-ই-তাবরিজ /,মাওলানা জালাল উদ্দিন রূমী (রহঃ)
SC81096,মুজাররদ :,"হক, মুহাম্মদ সৈয়দুল"
SC81097,মুজাররদ :,"হক, মুহাম্মদ সৈয়দুল"
SC81260,আল-আদাবুল মুফরাদ /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC81261,আল-আদাবুল মুফরাদ /,ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র)
SC81282,বুক অব ইসলামিক নলেজ /,"মোহন, ইকবাল কবীর"
SC81283,বুক অব ইসলামিক নলেজ /,"মোহন, ইকবাল কবীর"
SC81088,সীরাতুন নবী (সা.) - প্রথম খণ্ড /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC81089,সীরাতুন নবী (সা.) - চতুর্থ খণ্ড /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC81090,সীরাতুন নবী (সা.) - চতুর্থ খণ্ড /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC81266,আল ফিকহুল আকবর /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC81267,আল ফিকহুল আকবর /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC81264,হাদীসের নামে জালিয়াতি /,
SC81265,হাদীসের নামে জালিয়াতি /,
SC81262,আল আযকার /,
SC81263,আল আযকার /,
SC81288,অহীর আয়নায় পরকাল /,
SC81289,অহীর আয়নায় পরকাল /,
SC81276,নবীদের সংগ্রামী জীবন /,মাওলানা আবদুস শহীদ নাসিম
SC81277,নবীদের সংগ্রামী জীবন /,মাওলানা আবদুস শহীদ নাসিম
SC81284,রূহের রহস্য /,
SC81285,রূহের রহস্য /,
SC81278,ইসলামের রাষ্ট্রব্যবস্থা /,
SC81279,ইসলামের রাষ্ট্রব্যবস্থা /,
SC81286,লা-তাহ্‌যান :,"কারণী, আইদ আল"
SC81287,লা-তাহ্‌যান :,"কারণী, আইদ আল"
SC81258,আল-কুরআনে রাষ্ট্র ও সরকার /,"রহীম, মাওলানা মুহাম্মাদ আবদুর"
SC81259,আল-কুরআনে রাষ্ট্র ও সরকার /,"রহীম, মাওলানা মুহাম্মাদ আবদুর"
SC81270,"কুরআন-সুন্নাহর আলোকে পোশাক, পর্দা ও দেহ-সজ্জা /","জাহাঙ্গীর, খোন্দকার আব্দুল্লাহ"
SC81271,"কুরআন-সুন্নাহর আলোকে পোশাক, পর্দা ও দেহ-সজ্জা /","জাহাঙ্গীর, খোন্দকার আব্দুল্লাহ"
SC81272,ইসলামের নামে জঙ্গীবাদ :,"জাহাঙ্গীর, খোন্দকার আব্দুল্লাহ"
SC81273,ইসলামের নামে জঙ্গীবাদ :,"জাহাঙ্গীর, খোন্দকার আব্দুল্লাহ"
SC81274,কুরআন বুঝার প্রথম পাঠ /,"নাসিম, আবদুস শহীদ"
SC81275,কুরআন বুঝার প্রথম পাঠ /,"নাসিম, আবদুস শহীদ"
SC81091,কিয়ামতের আলামত বিষয়ে রাসূলুল্লাহ (সা.)-এর ভবিষ্যত বাণী /,"কীলানী, মাওলানা মুহাম্মদ ইকবাল"
SC81092,কিয়ামতের আলামত বিষয়ে রাসূলুল্লাহ (সা.)-এর ভবিষ্যত বাণী /,"কীলানী, মাওলানা মুহাম্মদ ইকবাল"
SC81086,কিতাবুস সালাত /,"চৌধুরী, সৈয়দ আহমদ"
SC81087,কিতাবুস সালাত /,"চৌধুরী, সৈয়দ আহমদ"
SC81250,ইসলামের যাকাত বিধান-প্রথম খণ্ড /,ড. ইউসুফ আল কারজাভি
SC81251,ইসলামের যাকাত বিধান-দ্বিতীয় খণ্ড /,ড. ইউসুফ আল কারজাভি
SC81165,আত তিব্বুন নববি (সা.) :,
SC81166,আত তিব্বুন নববি (সা.) :,
SC81098,সিরাতে ইবনে হিশাম /,
SC81099,সিরাতে ইবনে হিশাম /,
SC81046,পথের শেষে :,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81047,পথের শেষে :,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81048,দাকায়েকুল আখবার :,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81049,দাকায়েকুল আখবার :,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81068,হুসনে আখলাক /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81069,হুসনে আখলাক /,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ
SC81119,দি ইন্ডিয়ান মুসলমানস /,"হান্টার, ডব্লিউ ডব্লিউ"
SC81120,দি ইন্ডিয়ান মুসলমানস /,"হান্টার, ডব্লিউ ডব্লিউ"
SC81290,খুন রাঙা পথ /,"হিজাযী, নসীম"
SC81291,খুন রাঙা পথ /,"হিজাযী, নসীম"
SC81294,ভেঙ্গে গেল তলোয়ার /,"হিজাযী, নসীম"
SC81295,ভেঙ্গে গেল তলোয়ার /,"হিজাযী, নসীম"
SC81292,আরাকানের মুসলমানদের ইতিহাস /,"আখন্দ, মাহফুজুর রহমান"
SC81293,আরাকানের মুসলমানদের ইতিহাস /,"আখন্দ, মাহফুজুর রহমান"
SC81041,প্রফেশনাল ইথিকস ইন ইসলাম :,"নায়েক, ডা. জাকির"
SC81042,প্রফেশনাল ইথিকস ইন ইসলাম :,"নায়েক, ডা. জাকির"
SC81157,বিশ্বায়ন তাগুত খিলাফাহ্ /,
SC81158,বিশ্বায়ন তাগুত খিলাফাহ্ /,
SC81075,ক্যারিয়ার গঠন ও দক্ষতা উন্নয়ন /,"ইউনুছ, আব্দুদ্দাইয়ান মুহাম্মদ"
SC81076,ক্যারিয়ার গঠন ও দক্ষতা উন্নয়ন /,"ইউনুছ, আব্দুদ্দাইয়ান মুহাম্মদ"
SC81155,পরিবার ও পারিবারিক জীবন /,"রহীম, মুহাম্মদ আব্দুর."
SC81156,পরিবার ও পারিবারিক জীবন /,"রহীম, মুহাম্মদ আব্দুর."
SC81149,রাসূল (সা.)-এর ২৪ ঘন্টার আমল /,ইমাম মুহিউদ্দীন ইয়াহইয়া আন-নববী (রহ.)
SC81150,রাসূল (সা.)-এর ২৪ ঘন্টার আমল /,ইমাম মুহিউদ্দীন ইয়াহইয়া আন-নববী (রহ.)
SC81301,দুর্বিন শাহ সমগ্র /,
SC81302,দুর্বিন শাহ সমগ্র /,
SC81268,কুরআন ও সহীহ হাদীসের আলোকে ফাযায়িলে আ'মাল /,
SC81269,কুরআন ও সহীহ হাদীসের আলোকে ফাযায়িলে আ'মাল /,
SC81133,ইসলাম ও অর্থনৈতিক চ্যালেঞ্জ /,"চাপরা, মুহাম্মাদ উমর"
SC81134,ইসলাম ও অর্থনৈতিক চ্যালেঞ্জ /,"চাপরা, মুহাম্মাদ উমর"
SC81084,প্রিয় নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম-এর প্রিয় সুন্নত /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC81085,প্রিয় নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম-এর প্রিয় সুন্নত /,মাওলানা হাকীম মুহাম্মদ আখতার ছাহেব (রহ.)
SC81044,কুরান ও আধুনিক বিজ্ঞান /,"নায়েক, জাকির"
SC81045,কুরান ও আধুনিক বিজ্ঞান /,"নায়েক, জাকির"
SC81135,সাইন্টিফিক আল কুরআন /,"উদ্দিন, মোহাম্মদ নাছের"
